Time (s),Amplitude (V)
8.419663213471461e-05,0.0
8.420663173473062e-05,0.0
8.421663133474662e-05,0.0
8.422663093476261e-05,0.0
8.423663053477862e-05,0.016666666666666607
8.424663013479461e-05,0.0
8.425662973481062e-05,0.0
8.426662933482661e-05,0.0
8.42766289348426e-05,0.0
8.428662853485861e-05,0.0
8.42966281348746e-05,0.0
8.430662773489061e-05,0.0
8.431662733490661e-05,0.0
8.43266269349226e-05,0.0
8.433662653493861e-05,0.0
8.43466261349546e-05,0.0
8.435662573497061e-05,0.0
8.43666253349866e-05,0.0
8.437662493500261e-05,0.0
8.43866245350186e-05,0.016666666666666607
8.43966241350346e-05,0.016666666666666607
8.44066237350506e-05,0.0
8.44166233350666e-05,0.016666666666666607
8.442662293508261e-05,0.016666666666666607
8.44366225350986e-05,0.0
8.44466221351146e-05,0.0
8.44566217351306e-05,0.016666666666666607
8.44666213351466e-05,0.016666666666666607
8.44766209351626e-05,0.0
8.44866205351786e-05,0.0
8.449662013519459e-05,0.0
8.45066197352106e-05,0.0
8.451661933522659e-05,0.0
8.45266189352426e-05,0.0
8.45366185352586e-05,0.0
8.454661813527459e-05,0.0
8.45566177352906e-05,0.0
8.456661733530659e-05,0.0
8.45766169353226e-05,0.0
8.458661653533859e-05,0.0
8.459661613535458e-05,0.0
8.460661573537059e-05,0.016666666666666607
8.461661533538658e-05,0.0
8.462661493540259e-05,0.0
8.463661453541859e-05,0.0
8.46466141354346e-05,0.0
8.465661373545059e-05,0.0
8.466661333546658e-05,0.016666666666666607
8.467661293548259e-05,0.0
8.468661253549858e-05,0.0
8.469661213551459e-05,0.0
8.470661173553058e-05,0.0
8.471661133554658e-05,0.0
8.472661093556258e-05,0.0
8.473661053557858e-05,0.0
8.474661013559459e-05,0.016666666666666607
8.475660973561058e-05,0.0
8.476660933562657e-05,0.016666666666666607
8.477660893564258e-05,0.0
8.478660853565857e-05,0.016666666666666607
8.479660813567458e-05,0.0
8.480660773569058e-05,0.0
8.481660733570657e-05,0.0
8.482660693572258e-05,0.0
8.483660653573857e-05,0.016666666666666607
8.484660613575458e-05,0.0
8.485660573577057e-05,0.0
8.486660533578658e-05,0.0
8.487660493580257e-05,0.0
8.488660453581857e-05,0.0
8.489660413583457e-05,0.0
8.490660373585057e-05,0.0
8.491660333586658e-05,0.0
8.492660293588257e-05,0.0
8.493660253589856e-05,0.0
8.494660213591457e-05,0.016666666666666607
8.495660173593056e-05,0.0
8.496660133594657e-05,0.0
8.497660093596257e-05,0.0
